,1-3
800,0.017545
825,0.018093750000000002
850,0.018722500000000003
875,0.01879375
900,0.018833750000000003
925,0.01906375
950,0.01942625
975,0.0189475
1000,0.01933625
1025,0.019991250000000002
1050,0.0197025
1075,0.019561250000000002
1100,0.019541250000000003
1125,0.019820000000000004
1150,0.02041375
1175,0.019860000000000003
1200,0.019943750000000003
1225,0.020195
1250,0.01981375
1275,0.019956250000000002
1300,0.020117500000000003
1325,0.020991250000000003
1350,0.02030875
1375,0.020295
1400,0.0207225
1425,0.02066875
1450,0.020553750000000003
1475,0.020855000000000002
1500,0.02098125
1525,0.020512500000000003
1550,0.021175
1575,0.021186250000000004
1600,0.02066875
1625,0.021222500000000002
1650,0.020995
1675,0.021175
1700,0.02199875
1725,0.02191875
1750,0.02140625
1775,0.02175125
1800,0.022135000000000002
1825,0.02215875
1850,0.02179375
1875,0.0217525
1900,0.022007500000000003
1925,0.022103750000000002
1950,0.022381250000000002
1975,0.022518750000000004
2000,0.022121250000000002
2025,0.022761250000000004
2050,0.022426250000000002
2075,0.02260875
2100,0.022472500000000003
2125,0.022796250000000004
2150,0.022637500000000005
2175,0.022551250000000002
2200,0.022936250000000002
2225,0.023105
2250,0.022817500000000004
2275,0.023305000000000003
2300,0.022760000000000002
2325,0.0231325
2350,0.023218750000000003
2375,0.023695
2400,0.023723750000000002
