,3-1
800,0.007263750000000001
825,0.0073475
850,0.00742375
875,0.007676250000000001
900,0.0076075
925,0.007605000000000001
950,0.00756625
975,0.00758875
1000,0.007653750000000001
1025,0.00754875
1050,0.0075475
1075,0.007568750000000001
1100,0.0076575
1125,0.007545
1150,0.0075925
1175,0.00779
1200,0.0077175
1225,0.007665000000000002
1250,0.00769125
1275,0.00766375
1300,0.0077575000000000005
1325,0.00784625
1350,0.007952500000000001
1375,0.007938750000000001
1400,0.007758750000000001
1425,0.007825
1450,0.00783
1475,0.007845000000000001
1500,0.007821250000000002
1525,0.00787125
1550,0.0078075
1575,0.00773625
1600,0.007876250000000001
1625,0.0078000000000000005
1650,0.007725000000000001
1675,0.00785625
1700,0.007821250000000002
1725,0.007886250000000001
1750,0.00772875
1775,0.00783875
1800,0.00791
1825,0.00809
1850,0.007965
1875,0.007827500000000001
1900,0.00791875
1925,0.008002500000000001
1950,0.00797625
1975,0.007928750000000002
2000,0.00795875
2025,0.00799875
2050,0.00816375
2075,0.00796875
2100,0.008011250000000001
2125,0.007991250000000002
2150,0.00808625
2175,0.0081525
2200,0.0081125
2225,0.00810125
2250,0.00829
2275,0.00829125
2300,0.0084025
2325,0.00806625
2350,0.00826
2375,0.008266250000000001
2400,0.00826
